Time,Voltage
0,0.10000661
8.33E-06,0.082361883
1.67E-05,0.078477525
2.50E-05,0.088309477
3.33E-05,0.110675626
4.17E-05,0.142211308
5.00E-05,0.177462297
5.83E-05,0.210304511
6.67E-05,0.235493437
7.50E-05,0.248500425
8.33E-05,0.247220704
9.17E-05,0.232263737
0.0001,0.205823223
0.000108333,0.172861559
0.000116667,0.139215744
0.000125,0.110806009
0.000133333,0.092327287
0.000141667,0.087396498
0.00015,0.096791816
0.000158333,0.118513323
0.000166667,0.149529111
0.000175,0.184496836
0.000183333,0.217175278
0.000191667,0.242091449
0.0002,0.254927704
0.000208333,0.253447066
0.000216667,0.23791404
0.000225,0.211336454
0.000233333,0.178177632
0.000241667,0.14413135
0.00025,0.115353815
0.000258333,0.097082718
0.000266667,0.091881231
0.000275,0.100907055
0.000283333,0.122703626
0.000291667,0.153525839
0.0003,0.188300689
0.000308333,0.221055276
0.000316667,0.245974839
0.000325,0.258682197
0.000333333,0.257050973
0.000341667,0.241544643
0.00035,0.214784752
0.000358333,0.181499129
0.000366667,0.147308936
0.000375,0.118520566
0.000383333,0.100205438
0.000391667,0.095142959
0.0004,0.104078166
0.000408333,0.125789743
0.000416667,0.156416665
0.000425,0.190765202
0.000433333,0.223595005
0.000441667,0.248591182
0.00045,0.26127894
0.000458333,0.25980342
0.000466667,0.244401474
0.000475,0.217205216
0.000483333,0.183607962
0.000491667,0.14967324
0.0005,0.121093534
0.000508333,0.102744878
0.000516667,0.097484233
0.000525,0.106231716
0.000533333,0.128018541
0.000541667,0.158667435
0.00055,0.192935803
0.000558333,0.225660391
0.000566667,0.250726268
0.000575,0.263263991
0.000583333,0.261657954
0.000591667,0.246230869
0.0006,0.219124392
0.000608333,0.185621918
0.000616667,0.151648095
0.000625,0.122981077
0.000633333,0.104430669
0.000641667,0.099402716
0.00065,0.108178384
0.000658333,0.129762811
0.000666667,0.160664728
0.000675,0.194882638
0.000683333,0.227263962
0.000691667,0.252204227
0.0007,0.265055821
0.000708333,0.263426477
0.000716667,0.247862241
0.000725,0.220657177
0.000733333,0.187088124
0.000741667,0.153299003
0.00075,0.12459435
0.000758333,0.106130883
0.000766667,0.100875907
0.000775,0.109775309
0.000783333,0.131318133
0.000791667,0.161992489
0.0008,0.196413689
0.000808333,0.228842596
0.000816667,0.253742069
0.000825,0.266359817
0.000833333,0.264899963
0.000841667,0.249207188
0.00085,0.222075994
0.000858333,0.188511829
0.000866667,0.154654302
0.000875,0.125993391
0.000883333,0.107347721
0.000891667,0.102189973
0.0009,0.111179939
0.000908333,0.132587954
0.000916667,0.163350195
0.000925,0.197720606
0.000933333,0.230310478
0.000941667,0.254990908
0.00095,0.267716858
0.000958333,0.266000855
0.000966667,0.250518091
0.000975,0.223334565
0.000983333,0.189886842
0.000991667,0.155939392
0.001,0.127078202
0.001008333,0.108565419
0.001016667,0.103144751
0.001025,0.112128877
0.001033333,0.133831152
0.001041667,0.164639458
0.00105,0.198965253
0.001058333,0.231295989
0.001066667,0.256156899
0.001075,0.268981205
0.001083333,0.267353941
0.001091667,0.251599438
0.0011,0.22440724
0.001108333,0.191019569
0.001116667,0.157035304
0.001125,0.128137581
0.001133333,0.109578403
0.001141667,0.104172777
0.00115,0.1129993
0.001158333,0.134589132
0.001166667,0.165409017
0.001175,0.199902208
0.001183333,0.232324091
0.001191667,0.257042056
0.0012,0.269841616
0.001208333,0.26824252
0.001216667,0.252385625
0.001225,0.225261212
0.001233333,0.191887575
0.001241667,0.157953528
0.00125,0.128907071
0.001258333,0.110329698
0.001266667,0.105034816
0.001275,0.114063893
0.001283333,0.135569907
0.001291667,0.166417996
0.0013,0.200866659
0.001308333,0.23346821
0.001316667,0.258165352
0.001325,0.270724895
0.001333333,0.269118834
0.001341667,0.253422134
0.00135,0.226314874
0.001358333,0.192755257
0.001366667,0.158829164
0.001375,0.129910305
0.001383333,0.111246233
0.001391667,0.105961432
0.0014,0.114873371
0.001408333,0.136451728
0.001416667,0.167275168
0.001425,0.201830813
0.001433333,0.234295423
0.001441667,0.259035005
0.00145,0.271827114
0.001458333,0.270105152
0.001466667,0.254261934
0.001475,0.227112788
0.001483333,0.193728221
0.001491667,0.159722376
0.0015,0.130749967
0.001508333,0.112143967
0.001516667,0.106671439
0.001525,0.115631263
0.001533333,0.137247533
0.001541667,0.168181213
0.00155,0.202691712
0.001558333,0.235401931
0.001566667,0.259963364
0.001575,0.272551531
0.001583333,0.270957548
0.001591667,0.255288736
0.0016,0.228048617
0.001608333,0.194508917
0.001616667,0.1606445
0.001625,0.131609983
0.001633333,0.112823079
0.001641667,0.107464895
0.00165,0.116469949
0.001658333,0.13811902
0.001666667,0.169002947
0.001675,0.203633841
0.001683333,0.236189492
0.001691667,0.260738257
0.0017,0.273452213
0.001708333,0.271732559
0.001716667,0.256055703
0.001725,0.228938498
0.001733333,0.195427773
0.001741667,0.161274377
0.00175,0.1322789
0.001758333,0.113607875
0.001766667,0.108117899
0.001775,0.117001535
0.001783333,0.13883447
0.001791667,0.169821396
0.0018,0.204353369
0.001808333,0.236957808
0.001816667,0.261632646
0.001825,0.274339422
0.001833333,0.272629176
0.001841667,0.256802602
0.00185,0.229819336
0.001858333,0.196209529
0.001866667,0.162030759
0.001875,0.132967306
0.001883333,0.114352537
0.001891667,0.108843926
0.0019,0.11784099
0.001908333,0.139570777
0.001916667,0.170483332
0.001925,0.205148608
0.001933333,0.237759627
0.001941667,0.262440445
0.00195,0.275141492
0.001958333,0.273511151
0.001966667,0.257590338
0.001975,0.23045218
0.001983333,0.197048376
0.001991667,0.162866023
0.002,0.133697573
0.002008333,0.114962632
0.002016667,0.109539997
0.002025,0.118508577
0.002033333,0.140263077
0.002041667,0.171206768
0.00205,0.205785956
0.002058333,0.23863688
0.002066667,0.263321027
0.002075,0.275800172
0.002083333,0.274036701
0.002091667,0.258327945
0.0021,0.231297955
0.002108333,0.197701269
0.002116667,0.163620333
0.002125,0.134464561
0.002133333,0.115672252
0.002141667,0.110207446
0.00215,0.11921567
0.002158333,0.141042559
0.002166667,0.172003833
0.002175,0.206546988
0.002183333,0.23932609
0.002191667,0.264083268
